date,n1,n2,n3,n4,n5,s1,s2
20200331,12,17,24,30,36,1,9
20200403,16,19,34,46,50,2,6
20200407,4,5,14,33,48,7,12
20200410,3,10,17,33,39,1,4
20200414,6,29,34,35,40,4,11
20200417,16,28,32,37,45,1,11
20200421,10,11,14,23,28,6,8
20200424,1,5,19,21,28,4,7
20200428,15,23,26,28,32,1,5
20200501,19,20,38,45,47,2,6
20200505,2,10,22,27,41,2,3
20200508,8,25,32,33,38,7,9
20200512,9,16,29,37,39,4,11
20200515,11,23,32,34,39,1,6
20200519,5,25,32,37,43,6,7
20200522,3,18,22,27,32,2,7
20200526,4,9,14,21,27,4,6
20200529,4,8,11,19,46,4,8
20200602,10,12,22,26,49,7,11
20200605,5,11,17,24,37,3,6
20200609,5,15,27,36,46,2,8
20200612,2,24,39,45,46,4,8
20200616,4,9,11,17,39,2,10
20200619,5,14,19,24,43,3,11
20200623,2,12,19,46,49,1,8
20200626,1,10,12,21,26,5,11
20200630,1,6,11,28,42,2,10
20200703,4,16,27,37,39,3,6
20200707,12,16,23,33,41,8,10
20200710,15,17,23,30,38,2,7
20200714,11,22,30,37,47,9,10
20200717,7,15,27,41,43,7,9
20200721,14,15,24,29,42,2,4
20200724,8,9,27,28,50,4,12
20200728,9,13,15,17,34,2,7
20200731,21,24,30,46,49,2,5
20200804,1,2,5,15,42,5,8
20200807,5,20,21,36,41,6,11
20200811,8,13,14,42,50,3,9
20200814,9,10,19,42,49,4,12
20200818,6,12,17,34,42,5,12
20200821,10,15,35,44,50,3,5
20200825,7,18,30,37,39,8,10
20200828,7,12,16,17,31,7,9
20200901,4,8,10,33,46,8,11
20200904,6,22,29,40,43,4,7
20200908,2,9,31,35,41,9,12
20200911,34,38,42,43,45,9,12
20200915,16,20,25,30,38,6,8
20200918,2,10,19,25,45,1,7
20200922,16,25,28,39,40,1,6
20200925,19,23,34,37,45,1,7
20200929,4,14,16,41,44,11,12
20201002,6,12,15,40,45,3,9
20201006,4,21,36,41,47,9,11
20201009,11,15,35,41,50,5,8
20201013,5,14,38,41,46,1,10
20201016,15,33,38,40,50,3,6
20201020,5,6,15,37,42,3,4
20201023,10,15,19,21,23,3,12
20201027,13,15,28,32,44,3,12
20201030,12,16,20,21,28,3,9
20201103,5,7,18,20,30,6,7
20201106,7,12,37,40,50,1,2
20201110,3,19,29,32,38,5,12
20201113,1,5,17,28,31,1,10
20201117,16,19,25,30,44,2,6
20201120,28,29,39,48,50,5,7
20201124,25,33,38,42,50,8,12
20201127,2,5,8,14,16,8,9
20201201,14,20,29,47,49,4,12
20201204,14,20,27,34,38,1,11
20201208,1,4,21,24,46,2,12
20201211,6,9,13,24,41,3,12
20201215,9,13,21,29,35,1,2
20201218,2,3,13,17,21,7,8
20201222,2,10,16,42,50,4,11
20201225,16,21,27,30,32,3,5
20201229,7,32,39,40,45,3,8
20210101,16,28,32,44,48,1,9
20210105,12,34,37,38,42,1,3
20210108,18,23,37,41,42,4,6
20210112,2,10,18,34,35,6,9
20210115,4,10,27,38,40,3,11
20210119,25,27,31,35,43,5,6
20210122,8,16,42,44,47,6,7
20210126,5,7,25,37,40,2,8
20210129,1,5,27,36,42,1,6
20210202,18,20,35,38,48,9,12
20210205,12,19,37,44,45,2,6
20210209,5,10,24,31,37,9,10
20210212,7,23,30,32,36,8,12
20210216,5,9,25,29,30,6,7
20210219,4,12,25,46,48,7,12
20210223,9,18,30,39,45,1,3
20210226,6,12,22,29,33,6,11
20210302,2,19,24,26,49,6,7
20210305,4,5,39,46,48,7,10
20210309,1,16,21,32,33,11,12
20210312,4,6,9,11,44,10,11
20210316,23,25,32,35,47,2,6
20210319,3,9,35,43,44,1,10
20210323,2,26,29,36,49,3,9
20210326,10,12,37,49,50,3,8
20210330,24,27,28,29,42,4,8
